Time(s)	pixel_1_intensity	pixel_2_intensity	pixel_3_intensity	pixel_4_intensity
1.79866361618042	58	71	67	70
2.5788042545318604	58	72	67	70
3.3458704948425293	58	72	65	71
4.248006582260132	58	71	66	71
5.070496320724487	58	70	65	70
6.6471405029296875	58	69	66	72
7.467858552932739	59	71	64	70
8.305966854095459	58	70	66	69
9.181837558746338	59	69	66	70
10.043003797531128	58	74	66	69
11.579598903656006	60	69	66	70
12.35111117362976	59	71	66	70
13.292457103729248	57	70	66	70
14.134575366973877	58	71	66	69
15.765565395355225	59	71	67	71
16.65117311477661	59	71	64	70
17.47584843635559	60	70	67	70
18.290772438049316	58	73	65	71
19.104668617248535	59	71	66	72
20.648289680480957	59	72	66	69
21.542303323745728	58	70	67	70
22.428804636001587	58	71	64	70
23.370824337005615	57	72	66	71
24.17154836654663	58	72	65	71
25.092074871063232	57	72	66	71
25.9980046749115	57	71	65	71
27.00033164024353	56	71	66	69
29.068072080612183	58	72	66	69
30.05877995491028	57	71	64	69
31.85846471786499	59	71	66	70
32.78285789489746	61	71	65	69
33.69280529022217	59	72	67	69
34.500906467437744	60	70	64	68
35.48630356788635	61	70	67	70
36.41484045982361	60	71	67	69
37.31074070930481	60	71	65	69
38.11488676071167	60	69	66	67
39.00004863739014	59	71	65	69
40.75262260437012	59	71	65	69
41.84203267097473	59	71	64	69
42.68970561027527	59	70	65	69
43.60514521598816	58	71	65	70
44.55961489677429	59	70	65	69
45.52587699890137	57	72	65	69
46.56879758834839	59	70	66	69
47.37739300727844	60	71	66	66
48.256080865859985	59	71	65	69
49.18007040023804	60	71	65	68
50.016900300979614	60	69	65	70
51.08702373504639	59	71	64	71
52.08876180648804	60	69	66	70
53.78622245788574	58	71	63	70
54.689496755599976	59	70	64	69
55.56805062294006	58	69	65	67
56.46175503730774	59	70	67	69
57.257362842559814	59	71	65	69
58.11306047439575	58	70	66	68
59.001424074172974	60	68	63	70
60.665207624435425	60	72	65	69
61.49864864349365	59	69	64	67
62.400763750076294	57	69	64	68
63.30691456794739	59	71	65	69
64.17675542831421	58	69	64	68
65.04958248138428	59	70	65	68
66.00249671936035	59	69	65	68
67.69556188583374	59	68	64	68
68.52585744857788	58	70	65	68
69.35195708274841	60	71	65	69
70.25271964073181	61	71	64	68
71.05973029136658	60	70	64	69
72.80990862846375	60	68	63	68
73.67190337181091	58	67	64	69
74.5725450515747	59	70	64	67
75.44556140899658	59	69	65	68
76.33565545082092	58	71	65	69
77.19860196113586	61	70	65	69
78.07070922851562	58	69	64	67
79.03884172439575	59	70	63	67
80.97446584701538	60	70	64	66
81.044926404953	60	70	64	68
81.99789714813232	59	70	63	68
83.83506035804749	60	70	63	70
84.67982244491577	59	69	65	68
85.53186702728271	58	68	64	67
86.43813896179199	59	68	64	68
87.65154147148132	61	68	63	68
88.67780542373657	59	69	64	67
89.66556715965271	60	69	63	68
90.52951550483704	60	69	63	68
91.41559410095215	61	67	64	68
92.2806077003479	61	67	63	67
93.13669967651367	58	68	62	66
94.01451015472412	60	68	62	68
95.7229540348053	60	68	63	68
96.71876859664917	60	67	63	68
97.66028499603271	59	68	63	68
98.51298761367798	59	69	62	67
99.32952976226807	59	69	64	67
100.19732236862183	60	68	62	67
101.0317325592041	61	67	62	68
102.66673707962036	60	67	63	67
103.54460716247559	60	70	62	67
104.41518235206604	59	68	63	68
105.26474785804749	59	68	63	67
106.16963601112366	59	69	63	65
107.04298949241638	59	67	62	68
108.69107842445374	61	69	61	68
109.54190754890442	59	69	62	67
111.27511930465698	54	68	61	65
112.17241764068604	55	68	62	66
113.00107979774475	55	68	61	67
113.83468294143677	55	68	61	65
114.73797702789307	55	67	60	67
115.64274263381958	54	68	62	65
117.32870173454285	54	67	61	64
118.17042875289917	56	67	61	67
119.00811290740967	55	68	61	63
