"answer_id","date","main_activity","main_domain","main_other","main_dev","other_dev","software_dev","software_dev_other","database","object_oriented","machine_learning","main_dev_lib","open_dev_lib","ihm_dev","ihm_language","physics_simu","physics_simu_lang","physics_simu_lib","physics_simu_lib_other","embedded_system","embedded_system_target"
"2","11/21/2022","ingenierie-r-and-d-hors-photonique","energie",,"des-systemes-d-acquisition-de-donnees","des-systemes-temps-reel-de-traitement-de-donnees","python",,"non-sql","oui-objet","oui-deep","sur-des-bibliotheques-ouvertes","Pandas, Numpy, Matplotlib, Seaborn","non","autre","oui",,"sur-des-bibliotheques-ouvertes","Same as previous","non","non-concerne"
"3","11/21/2022","recherche-appliquee-en-physique","telecommunications",,"d-autres-produits","des-systemes-temps-reel-de-traitement-de-donnees",,,"non-sql","non-objet","non-deep","sur-des-bibliotheques-ouvertes",,"oui-peu","autre","oui","python","sur-des-bibliotheques-ouvertes",,"non","non-concerne"
"4","11/21/2022","ingenierie-r-and-d-photonique","autres","Mesures et instrumentation de précision","d-autres-produits","des-systemes-temps-reel-de-traitement-de-donnees,des-systemes-d-and-x27-acquisition-de-donnees,des-logiciels-d-acquisition-de-donnees,des-logiciels-de-traitement-de-donnees","python",,"non-sql","non-objet","non-deep","sur-des-bibliotheques-proprietaires-que-vous-developpez","Pour Python : pandas, numpy, scipy, matplotlib","oui-peu","autre","oui","python","sur-des-bibliotheques-ouvertes","Idem","oui","un-ordinateur-embarque"
"5","11/21/2022","ingenierie-r-and-d-hors-photonique","developpement-de-logiciels",,"des-logiciels-de-traitement-de-donnees",,"C-c","php-html","non-sql","non-objet","non-deep","sur-des-bibliotheques-ouvertes","pandas, numpy (côté scientifique), sqlalchemy ou psycopg (côté interfaçage avec la base de données)","oui-peu","autre","non","non-concerne","non-concerne",,"non","non-concerne"
"6","11/21/2022","autre","defense","Aérospatiale : développement d'imageur radar à synthèse d'ouverture ","des-systemes-d-acquisition-de-donnees","des-logiciels-d-acquisition-de-donnees,des-logiciels-de-traitement-de-donnees","python",",matlab-ou-equivalent,php-html","oui","oui",,"sur-des-bibliotheques-ouvertes","en python : numpy / pandas / scipy / matplotlib","oui-peu","autre","non","non-concerne","non-concerne",,"oui","non-concerne"
"8","11/22/2022","ingenierie-r-and-d-photonique","developpement-de-logiciels",,"des-logiciels-de-simulation",,"C-c","python","oui-sql","non-objet","non-deep","sur-des-bibliotheques-proprietaires-que-vous-developpez",,"oui","c-c","oui","python","sur-des-bibliotheques-proprietaires-que-vous-developpez",,"non","non-concerne"
"9","11/22/2022","autre","developpement-de-logiciels","Conseil en SI","des-systemes-temps-reel-de-traitement-de-donnees","des-systemes-temps-reel-de-traitement-de-donnees","java","python","oui-sql","oui-objet","oui-deep","sur-des-bibliotheques-ouvertes","Panda, sklearn, matplotlib Angular/react. Framework MVC généralement ","oui","autre","non","non-concerne","non-concerne",,"non","non-concerne"
"10","11/22/2022","autre","autres","Industrie Sidérurgique ","des-logiciels-de-traitement-de-donnees","des-logiciels-de-traitement-de-donnees","python","c-c,sharp","non-sql","oui-objet","oui-deep","sur-des-bibliotheques-ouvertes","OpenCV, Halcon, Cognex ","non","autre","non","non-concerne","non-concerne",,"non","non-concerne"
"11","11/22/2022","autre","autres","Production de contenu photographique","des-logiciels-de-traitement-de-donnees",,"python","c-c","oui-sql","oui-objet","oui-deep","sur-des-bibliotheques-ouvertes","opencv, numpy, scipy, tensorflow, pytorch ","oui-peu","php-html","non","non-concerne","non-concerne",,"non","non-concerne"
"12","11/22/2022","ingenierie-r-and-d-hors-photonique","developpement-de-logiciels",,"des-systemes-temps-reel-de-traitement-de-donnees","des-logiciels-de-traitement-de-donnees","python","c-c","oui-sql","oui-objet","oui-deep","sur-des-bibliotheques-ouvertes","PyTorch, Scipy, Scikit-learn","non","autre","non","non-concerne","non-concerne",,"non","non-concerne"
"13","11/22/2022","ingenierie-r-and-d-photonique","transport",,"des-systemes-d-acquisition-de-donnees",,"matlab-ou-equivalent","python,c-c","non-sql","non-objet","non-deep","sur-des-bibliotheques-ouvertes",,"non","autre","oui","matlab","sur-des-bibliotheques-proprietaires-que-vous-developpez",,"non","non-concerne"
"14","11/22/2022","ingenierie-r-and-d-photonique","developpement-de-logiciels",,"des-logiciels-de-simulation",,"C-c",,"non-sql","oui-objet","non-deep","sur-des-bibliotheques-proprietaires-que-vous-developpez",,"oui-peu","c-c","oui","non-concerne","sur-des-bibliotheques-proprietaires-que-vous-developpez",,"non","non-concerne"
"15","11/23/2022","ingenierie-r-and-d-hors-photonique","sante-action-sociale",,"des-logiciels-de-traitement-de-donnees","des-logiciels-de-simulation","python","c-c","non-sql","oui-objet","oui-deep","sur-des-bibliotheques-ouvertes","OpenCV sklearn tensor flow","non","autre","non","non-concerne","non-concerne",,"non","non-concerne"
"16","11/23/2022","recherche-fondamentale-en-physique","autres","Recherche fondamentale en optique","des-systemes-d-acquisition-de-donnees","des-systemes-temps-reel-de-traitement-de-donnees,des-systemes-d-and-x27-acquisition-de-donnees,des-logiciels-d-acquisition-de-donnees,des-logiciels-de-traitement-de-donnees,des-logiciels-de-simulation","matlab-ou-equivalent","python,c-c","non-sql","non-objet","non-deep","sur-des-bibliotheques-proprietaires-que-vous-developpez",,"non","autre","oui","matlab","sur-des-bibliotheques-proprietaires-que-vous-developpez",,"non","non-concerne"
